4_cells_1,Time,0.0,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,145.19999999999604
4_cells_1,Biomass,-0.055269385401177137,1.2211828059113625,1.8674929072506115,2.3828419397558775,2.7769168316266342,3.1049709284038562,3.121873571377936
4_cells_1,Population,0.0,1.0419213611626998,1.6352596806025821,2.1257933062837941,2.4976116016932721,2.8072274404545774,2.8239072518405499
4_cells_1,Growth rate,0,2.0682326284456725,4.2264584286044684,8.6277680011999394,13.847218339065515,19.425022544881632,19.97014868831462
4_cells_2,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,149.99999999999577
4_cells_2,Biomass,0.12698928144260557,0.38827587801983354,0.76864161066500514,1.1938175671458624,1.6458003068650255,2.0682219708963983,2.4190276555152592,2.4979422940278453
4_cells_2,Population,0.0,0.2897291560735058,0.58975710888941768,0.97577873722565778,1.3975771960628258,1.791881561896542,2.1239490440572673,2.1986074221492533
4_cells_2,Growth rate,0,0.44035757449752067,0.97365106919364797,1.7499733476238548,3.4494455755211257,7.3381618118284315,12.723138078487931,14.016691834644023
4_cells_3,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,147.89999999999588
4_cells_3,Biomass,0.10737821980032178,0.25378250348698644,0.53228460581402937,0.88866694500087351,1.3213680176642635,1.7547209323355835,2.1224998257236374,2.1763982020869719
4_cells_3,Population,0.0,0.16026316829633538,0.3428866267988766,0.6508644594005677,1.0522785795079057,1.4600635224961886,1.8089272728504204,1.8601629414641627
4_cells_3,Growth rate,0,0.24389608030070825,0.63485460263098947,1.3566193501047645,2.6094306578255124,5.2695248199906777,10.391664841651799,11.278311066123797
4_cells_4,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,164.49999999999494
4_cells_4,Biomass,-0.10523542124780287,-0.508369331134786,-0.68331279255970612,-0.75757121052131082,-0.73158061030745947,-0.55536376981391689,-0.20386028146567228,0.22320676748781329
4_cells_4,Population,0.0,-0.62705706873095524,-0.84561577420421885,-0.96228739279345199,-0.97842416681545208,-0.82824474421721284,-0.5137720983154368,-0.11319715434621902
4_cells_4,Growth rate,0,0.87527259055512363,1.2397924588390405,1.37434677077989,1.2574619772664806,0.70381589501592223,0.11415943296602751,1.0854895813782646
8_cells_1,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,165.69999999999487
8_cells_1,Biomass,0.050078790505308703,-0.31199213591178276,-0.26429176236343033,-0.14664381168163174,0.049607650415149092,0.33327286507264153,0.71716268797111915,1.1031176067421657
8_cells_1,Population,0.0,-0.41160278629737151,-0.45785475810764587,-0.37073595068889587,-0.20375094824985374,0.047056434667641395,0.40315163107863378,0.76827890999196513
8_cells_1,Growth rate,0,0.52633937896233296,0.50896285589120482,0.39118546649346631,0.015943423424104354,0.55244738016452455,1.681440641551238,4.0318414582682784
8_cells_2,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,164.9999999999949
8_cells_2,Biomass,0.36884884733142775,0.62952242195996755,1.0674262306037301,1.595785302656318,2.0733394126740059,2.4540872310120281,2.7771089447320914,3.0252698798724955
8_cells_2,Population,0.0,0.5182703702155701,0.88198531928268187,1.3590419423561595,1.8135546785499541,2.1734179207461199,2.4795910226536133,2.7136013652383357
8_cells_2,Growth rate,0,0.71190998737768119,1.7035840843196843,3.6652758402355423,7.5376464590666483,12.788489968842963,18.10146837745696,11.062628850283964
8_cells_3,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,157.69999999999533
8_cells_3,Biomass,-0.0014507463155957591,0.33648493021595688,0.74999059250054267,1.2115597427769151,1.6897407854427391,2.0932225030352565,2.4276036135123924,2.597572028250438
8_cells_3,Population,0.0,0.21756214147601452,0.56043178145275196,0.98176866125366191,1.4235983975737545,1.8049672083958328,2.1203490026332017,2.2802579141762602
8_cells_3,Growth rate,0,0.47281347915337701,1.1607611301057525,2.3489251068298209,5.0775154333386503,10.211417378086097,15.457422709287746,18.765619493807314
8_cells_4,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,152.29999999999563
8_cells_4,Biomass,0.047779556419041955,-0.52903166762636888,-0.43712646969823815,-0.18626047701362763,0.1667277676502317,0.56053187209212563,0.98369802286841301,1.1284952798901777
8_cells_4,Population,0.0,-0.62307961794322841,-0.6110276289415697,-0.41305844026861366,-0.095193398302382062,0.26821908212892265,0.66776203889746666,0.80434785373711626
8_cells_4,Growth rate,0,0.74574901886522127,0.52011824799573136,0.04262651640829395,0.56124862303823919,1.2365779701785782,2.5798456945724548,3.4873196021937467
16_cells_1,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,163.299999999995
16_cells_1,Biomass,-0.096690173401143442,-0.011114102316289688,0.33829560614084214,0.69864852346905115,1.0490224965930348,1.4486540227554732,1.8198205559551672,2.0787605432146368
16_cells_1,Population,0.0,-0.12391691741764962,0.15258646865269807,0.48335496242059978,0.79340378429959568,1.166737249428617,1.5150147111616414,1.7593867001162522
16_cells_1,Growth rate,0,0.04596365878347887,0.60578955274286928,1.0669533036857128,1.8303429973470269,3.7833140158925,8.32594103995023,12.755667332413509
16_cells_2,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,166.7999999999948
16_cells_2,Biomass,0.033982884437380914,0.42543980472971099,0.96088125559865112,1.4978867855305182,1.9739458512195058,2.354176250508885,2.6766215379945701,2.9473088421108224
16_cells_2,Population,0.0,0.30212275660657528,0.75923729238893534,1.2649629900287302,1.7106506765882343,2.0685663854484271,2.3731823858965644,2.6284237017766863
16_cells_2,Growth rate,0,0.66786883553323251,1.7593467488415733,3.4700206079127893,6.8076222112210498,11.97298443883529,17.270461828929946,11.073335270457543
16_cells_3,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,161.09999999999513
16_cells_3,Biomass,0.0009175923233840518,0.19161791964601829,0.60948058629474089,1.0902442956898852,1.5853456645280752,1.9956583394613947,2.3339404722279373,2.5461773179088647
16_cells_3,Population,0.0,0.081146257537231647,0.45175018893638524,0.87408081207905175,1.3401559884626288,1.7302298510742606,2.0502968153536725,2.2504124612184468
16_cells_3,Growth rate,0,0.28046071548300233,1.0673404694096578,2.4366591364569112,5.4417544634475412,10.723535969962175,15.9576586848089,21.266948372588921
16_cells_4,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,160.39999999999517
16_cells_4,Biomass,0.0056417287915071865,0.58919612008113342,1.2529022402669658,1.8385852466521624,2.3032411581851693,2.6704752576504363,2.983490269262949,3.1792759783006952
16_cells_4,Population,0.0,0.47049757837901895,1.0545221174839221,1.6025257171142382,2.0444349496805208,2.3910781712474969,2.6858199557402016,2.871007942967303
16_cells_4,Growth rate,0,0.97497731941356214,2.5508303423496481,5.3731298573134838,10.210760244094125,15.318487578650851,21.262204097606762,11.078466227512878
16_cells_5,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,157.39999999999534
16_cells_5,Biomass,0.055589826917949475,0.46013661345979451,0.91137682431953271,1.2364583070862316,1.5386367812101396,1.8862879535742834,2.2386727419441317,2.4139132793584999
16_cells_5,Population,0.0,0.36350090900913223,0.73262936580257088,1.0144883392981539,1.2804620018150328,1.6042552749700065,1.9359999605153777,2.1013440862894526
16_cells_5,Growth rate,0,0.69622955642433659,1.2121930881617382,1.5199937715583358,2.1457549003739325,4.028047874936096,8.566845537230412,11.621988325122084
32_cells_1,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,163.299999999995
32_cells_1,Biomass,-0.0036020936734195005,0.59973293635646774,1.1761488788552465,1.738360528699642,2.1932010529411103,2.5644529682123873,2.8821577546825146,3.1128588957267844
32_cells_1,Population,0.0,0.48663839815198695,0.98476885101580647,1.5153998465584835,1.9412961759359884,2.2918944237111685,2.5907235596709657,2.8079392773084981
32_cells_1,Growth rate,0,0.93443784727639656,2.2527211752139902,4.75841263488054,9.2698056035067609,14.478106087408269,20.624160930552016,11.095275984529097
32_cells_2,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,167.99999999999474,168.4999999999947
32_cells_2,Biomass,-0.0618810562413366,0.36668597117916624,1.0651021630399529,1.6864312287535415,2.1519560400287885,2.5217000835954058,2.8373023604146836,3.1150054999179213,3.1205314080264941
32_cells_2,Population,0.0,0.26473024527357863,0.8607393335707717,1.4553216317399873,1.8990253849525287,2.2474864121171079,2.5449246595142534,2.8047964002586068,2.8099614759935583
32_cells_2,Growth rate,0,0.8010514141119246,2.6122090359674304,5.7449453999127327,10.54974943161665,15.68099120502835,11.081928226916144,11.083848430886052,11.078124433598472
32_cells_3,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,157.09999999999536
32_cells_3,Biomass,-0.1055434055901113,0.42823151535712173,1.0329704067434082,1.583014490403746,2.0485117850468342,2.4273841034066126,2.7528339689032744,2.9156211703477211
32_cells_3,Population,0.0,0.32213245997599721,0.85748264098411819,1.3614695282503417,1.7988701889260237,2.1558914750227811,2.4621310061230006,2.6153310163522554
32_cells_3,Growth rate,0,0.80406604529056591,2.0414288497121618,4.0037301768269558,7.8743645204496104,13.01131782182499,18.36556027767098,11.139069665418941
32_cells_4,Time,0.0,24.00000000000007,48.00000000000041,72.00000000000018,95.99999999999882,119.99999999999746,143.9999999999961,164.49999999999494
32_cells_4,Biomass,-0.08959168648156593,0.020217078447101904,0.54869501249970076,1.1023910539657609,1.5911567508598068,1.9938326689305743,2.3312408498656993,2.590273104152133
32_cells_4,Population,0.0,-0.102980270559033,0.35505200606560183,0.87859164865838402,1.3353088063870229,1.715719483349003,2.0330373995575464,2.2777497057731857
32_cells_4,Growth rate,0,0.24037357235383794,1.3144206438633472,2.7767922776671909,5.3613269532713987,10.38047661676123,15.510197967334227,11.11718254676169
